roi,neuron_count
Optic(R),55066
Optic(L),53658
CentralBrain,50563
CentralBrain-unspecified,44604
ME(L),43007
ME(R),42767
Optic-unspecified(L),38038
Optic-unspecified(R),36032
ME_R_layer_03,31916
ME_L_layer_03,30780
ME_L_layer_02,29341
ME_R_layer_01,28547
ME_R_layer_02,28480
ME_L_layer_01,27639
ME_L_layer_04,27327
LO(L),26894
LO(R),26540
ME_R_layer_04,26193
ME_R_layer_08,24652
ME_R_layer_05,24321
ME_L_layer_08,23451
ME_L_layer_09,23235
ME_R_layer_09,22888
ME_R_layer_10,22368
ME_L_layer_06,20830
ME_L_layer_10,20777
ME_R_layer_06,20775
ME_L_layer_05,20410
LO_R_layer_2,20060
ME_L_layer_07,20045
LO_L_layer_2,18840
ME_R_layer_07,18435
LO_L_layer_3,17175
LO_R_layer_3,16375
LO_R_layer_4,15468
LOP(R),15186
LO_L_layer_4,15169
LO_R_layer_1,14772
LO_L_layer_1,14603
LOP(L),14468
LOP_R_layer_1,14348
LO_L_layer_5,14034
LO_R_layer_5,13887
LOP_L_layer_1,13247
LO_R_layer_6,12572
LO_L_layer_6,12457
LOP_R_layer_2,11464
LOP_L_layer_2,11234
LO_L_layer_7,9608
LOP_L_layer_3,9468
LOP_R_layer_3,9322
LA(R),9131
LO_R_layer_7,8855
PLP(R),8775
LOP_R_layer_4,8248
GNG,8198
LOP_L_layer_4,8041
PLP(L),7935
SLP(R),7069
SLP(L),7008
SCL(R),6900
LA(L),6635
SCL(L),6554
SMP(R),6355
SMP(L),6271
PVLP(L),5841
PVLP(R),5714
AVLP(R),5409
SAD,5404
AVLP(L),5379
ICL(L),5080
SPS(L),5041
SPS(R),5038
SIP(L),5036
ICL(R),4980
SIP(R),4936
IB,4348
WED(L),4108
CRE(R),4033
WED(R),4020
AL(R),3959
CRE(L),3893
LH(R),3781
AL(L),3764
LH(L),3618
LAL(L),3446
LAL(R),3140
gL(R),3131
PED(R),2977
VES(L),2892
VES(R),2831
gL(L),2819
FB,2802
PED(L),2801
CA(L),2576
CA(R),2533
aL(R),2393
IPS(L),2384
IPS(R),2322
AMMC(L),2302
aL(L),2277
AMMC(R),2245
PRW,2157
GOR(L),2133
bL(R),2098
FLA(L),2039
a'L(R),1990
GOR(R),1966
AOTU(L),1879
FLA(R),1860
AOTU(R),1848
EPA(L),1800
b'L(R),1758
EPA(R),1614
a'L(L),1310
bL(L),1261
ATL(R),1224
ATL(L),1191
b'L(L),1093
ME_R_col_21_13,1023
ME_R_col_20_14,1020
ME_R_col_25_16,1018
ME_R_col_16_15,1005
ME_R_col_23_15,1000
ME_R_col_23_13,990
ME_R_col_20_15,990
ME_R_col_24_14,990
ME_R_col_23_14,987
ME_L_col_24_13,985
ME_L_col_10_27,984
ME_R_col_21_14,984
ME_R_col_21_12,983
ME_R_col_16_12,982
ME_L_col_19_16,981
ME_R_col_21_11,980
ME_R_col_24_17,977
ME_R_col_19_12,976
ME_R_col_20_12,976
ME_L_col_23_14,976
ME_R_col_22_14,975
ME_L_col_18_33,974
ME_R_col_22_15,974
ME_L_col_20_09,973
ME_R_col_23_19,973
ME_R_col_19_20,972
ME_R_col_26_20,971
CAN(L),971
ME_R_col_23_18,971
ME_R_col_23_20,971
ME_R_col_19_19,971
ME_R_col_19_16,971
ME_R_col_24_18,970
ME_R_col_24_16,970
ME_R_col_16_16,969
ME_R_col_16_20,969
ME_R_col_25_15,969
ME_R_col_24_20,969
ME_R_col_20_13,968
ME_L_col_22_12,967
ME_L_col_17_15,967
ME_R_col_19_14,966
ME_R_col_23_17,966
ME_L_col_27_17,965
ME_R_col_22_12,965
ME_R_col_14_29,964
ME_R_col_21_15,964
ME_R_col_19_17,963
ME_R_col_24_15,962
ME_R_col_28_20,962
ME_R_col_18_12,962
ME_R_col_22_13,961
ME_R_col_29_22,961
ME_R_col_29_20,961
ME_R_col_19_13,960
ME_R_col_16_19,960
ME_R_col_18_19,959
ME_L_col_20_15,959
ME_R_col_22_19,959
ME_L_col_19_15,958
ME_L_col_23_13,958
ME_R_col_18_24,958
ME_R_col_22_18,957
ME_R_col_23_16,957
ME_R_col_23_12,957
ME_R_col_20_10,957
ME_R_col_26_15,957
ME_L_col_20_10,957
ME_L_col_25_15,956
ME_L_col_08_22,956
ME_L_col_28_22,955
ME_R_col_22_22,955
ME_R_col_21_19,955
ME_R_col_19_15,955
ME_R_col_17_12,954
ME_R_col_21_16,954
ME_R_col_18_23,954
ME_L_col_13_10,954
ME_L_col_19_11,954
ME_R_col_18_17,953
ME_R_col_20_11,953
ME_R_col_20_18,953
ME_R_col_27_17,953
ME_R_col_21_17,952
ME_R_col_12_28,952
ME_R_col_17_10,952
ME_L_col_24_14,952
ME_R_col_15_15,951
ME_R_col_17_15,951
ME_R_col_20_16,951
ME_R_col_24_19,950
ME_R_col_26_17,950
ME_R_col_15_17,950
ME_R_col_22_21,950
ME_R_col_22_11,950
ME_R_col_16_09,950
ME_R_col_16_14,950
ME_R_col_26_19,949
ME_R_col_24_12,948
ME_L_col_09_26,948
ME_L_col_26_15,948
ME_R_col_17_18,947
ME_R_col_18_15,947
ME_R_col_25_20,947
ME_R_col_16_22,947
ME_R_col_17_09,946
ME_R_col_24_13,946
ME_R_col_17_22,946
ME_L_col_20_11,945
ME_L_col_18_18,945
ME_R_col_25_19,945
ME_L_col_19_09,945
ME_L_col_22_11,945
ME_R_col_18_14,945
ME_L_col_21_11,944
ME_R_col_19_18,944
ME_R_col_19_08,944
ME_R_col_16_17,943
ME_L_col_26_14,943
ME_R_col_15_31,942
ME_L_col_21_10,942
ME_L_col_23_15,942
ME_R_col_22_16,942
ME_R_col_25_17,942
ME_R_col_16_18,942
ME_L_col_10_26,941
ME_R_col_14_10,941
ME_L_col_18_15,941
ME_L_col_16_16,941
ME_L_col_18_13,940
ME_R_col_19_09,940
ME_L_col_20_17,940
ME_L_col_20_13,940
ME_R_col_13_26,940
ME_R_col_20_22,939
ME_L_col_15_19,939
ME_R_col_13_14,939
ME_R_col_30_32,939
ME_R_col_30_22,939
ME_R_col_17_11,939
ME_R_col_21_20,939
ME_R_col_20_19,939
ME_R_col_23_11,938
ME_L_col_08_23,938
ME_L_col_22_17,938
ME_R_col_18_11,938
ME_R_col_22_17,938
ME_R_col_27_20,937
ME_R_col_18_10,937
ME_R_col_21_18,937
ME_L_col_18_16,937
ME_R_col_22_20,937
ME_R_col_14_15,937
ME_L_col_22_14,937
ME_L_col_30_24,937
ME_R_col_17_14,936
ME_L_col_15_17,936
ME_R_col_31_25,936
ME_R_col_25_14,936
ME_R_col_27_25,936
ME_R_col_21_10,936
ME_R_col_20_09,936
ME_L_col_17_22,935
ME_L_col_29_30,935
ME_L_col_18_19,934
ME_R_col_27_21,933
ME_L_col_26_17,933
ME_R_col_27_19,933
ME_R_col_15_18,933
ME_R_col_14_30,933
ME_R_col_14_25,932
ME_L_col_29_20,932
ME_L_col_20_12,932
ME_R_col_15_24,932
ME_R_col_17_13,932
ME_R_col_17_16,932
ME_R_col_16_24,932
ME_L_col_17_18,932
ME_L_col_22_13,932
ME_R_col_18_18,932
