type,count
SNta29,260
"SNta02,SNta09",241
SNta37,228
SNxx03,186
SNta20,156
SApp,148
LgLG1b,136
LgLG1a,132
SNxx04,130
LgLG2,129
SNta38,122
SNta21,115
SNxxxx,102
WG2,97
WG4,96
WG3,96
WG1,96
LgLG3b,88
SNta04,83
SNch10,81
SNppxx,80
SNta42,77
SNta31,76
"SApp09,SApp22",74
SNta28,74
SNta43,73
SNxx33,72
LgLG3a,68
SNta11,67
SNxx14,66
SNta30,65
SNta25,63
SNpp50,62
SNta18,55
SNta34,54
SNta41,54
SNpp45,53
"SNta04,SNta11",53
SNta32,52
SNta40,50
SApp08,47
SNta27,47
Acc. ti flexor MN,46
SNpp52,43
"SNta11,SNta14",43
SNta35,43
LgLG4,43
SNpp60,41
SNpp47,40
SNta23,40
SNpp39,39
SNta03,39
SApp10,37
"SApp06,SApp15",37
SNxx06,37
Ti flexor MN,36
SNpp02,36
SNta44,36
SNpp19,35
Tr flexor MN,35
SNch01,35
SNxx22,34
SNpp51,32
SNpp40,32
AN10B045,31
IN01B095,31
SNta26,31
SNta45,31
SNta07,30
IN03B060,30
IN08A036,28
SNta19,28
IN10B058,27
SNxx07,27
IN10B057,27
SNxx20,26
LgAG1,25
IN06B066,25
SNxx02,25
SNta33,25
IN20A.22A092,25
SNpp01,25
IN08A026,24
DNg08,23
SApp23,23
IN04B074,23
IN20A.22A039,23
INXXX446,23
SNta39,23
SNxx23,22
Sternal posterior rotator MN,22
IN06A059,22
LgLG7,22
Acc. tr flexor MN,22
SNpp41,22
IN03B058,21
IN20A.22A090,21
SNxx01,21
IN19A117,21
dMS2,20
SNxx29,20
IN20A.22A024,20
SNpp42,20
IN08A043,20
IN01B065,20
SApp01,19
IN03A071,19
IN10B032,19
INXXX448,19
IN10B042,19
SNpp43,19
SNtaxx,19
DNpe008,18
IN09A039,18
IN20A.22A009,18
IN10B055,18
IN20A.22A073,18
IN20A.22A053,18
IN07B098,18
IN09A043,18
"SNpp29,SNpp63",18
IN03B089,18
IN06A082,18
SNxx21,18
IN21A087,18
ltm MN,18
SNxx05,18
SNpp18,18
Fe reductor MN,17
IN20A.22A021,17
IN06B047,17
IN20A.22A048,17
SNpp28,17
IN20A.22A089,17
IN03B066,17
IN01B090,17
DNg106,16
DNg07,16
AN10B047,16
SNpp23,16
IN19A041,16
IN23B023,16
IN04B100,16
IN20A.22A017,16
IN02A029,16
IN19B091,16
IN04B081,16
IN20A.22A049,16
IN13A045,16
ENXXX226,16
SNpp58,16
IN01B080,16
AN10B037,15
IN19A093,15
IN03A045,15
IN20A.22A016,15
IN20A.22A036,15
LgLG6,15
IN06A113,15
IN20A.22A055,15
IN20A.22A085,15
AN08B018,14
ANXXX027,14
DNge091,14
w-cHIN,14
Pleural remotor/abductor MN,14
IN23B018,14
Sternotrochanter MN,14
IN04B068,14
IN06B059,14
IN13A050,14
IN06A075,14
IN02A030,14
IN02A054,14
IN14A078,14
IN19B067,14
IN04B078,14
IN03A046,14
IN08A011,14
IN12B036,14
IN23B028,14
IN12B072,14
vMS11,14
IN03B072,14
IN05B090,14
IN03A094,14
IN03B069,14
SNxx19,14
LgLG8,14
IN08A041,14
IN19A098,14
SAxx01,13
DNge094,13
AN10B046,13
GFC3,13
IN03A067,13
INXXX290,13
IN06A132,13
IN04B102,13
IN13A038,13
IN20A.22A067,13
LgLG5,13
SNpp16,13
IN06A022,13
IN10B041,13
IN13A068,13
IN09A064,13
IN19A114,13
IN13A059,13
IN03B091,13
IN10B059,13
"SNta19,SNta37",13
SNpp56,13
SNpp53,13
AN19A018,12
DNg03,12
DNg06,12
DNp17,12
DNg10,12
"SApp19,SApp21",12
SAxx02,12
AN07B089,12
AN10B039,12
IN20A.22A001,12
INXXX468,12
Ti extensor MN,12
Sternal anterior rotator MN,12
IN19A016,12
IN08A019,12
IN09A060,12
IN20A.22A008,12
IN06B029,12
IN01A045,12
IN17A028,12
IN20A.22A007,12
INXXX287,12
IN08B054,12
IN17A052,12
INXXX258,12
IN02A033,12
IN01A038,12
IN19A060_d,12
IN16B042,12
IN20A.22A041,12
MNad02,12
INXXX429,12
"IN21A023,IN21A024",12
SNpp17,12
Tergotr. MN,12
IN06B073,12
IN08A028,12
IN09A022,12
IN19A064,12
IN12B025,12
IN16B045,12
MNad13,12
IN09B038,12
IN14A015,12
INXXX431,12
