type,count
R1-R6,3375
Tm3,2054
T3,1940
T2a,1871
L5,1787
L2,1779
C3,1779
T4c,1778
Tm1,1777
L1,1776
Mi9,1775
Mi1,1773
L3,1772
Mi4,1772
Tm9,1771
L4,1770
Tm2,1766
Tm20,1762
C2,1743
T5c,1720
T5b,1715
T4d,1709
T4b,1690
T4a,1684
Tm4,1670
T5a,1664
T2,1630
T5d,1620
Tm6,1526
Dm2,1452
TmY18,1367
TmY5a,1364
KCg-m,1342
Dm3a,1204
Mi15,1151
T1,1146
Dm3b,1136
Mi2,986
Tm12,967
Mi13,910
Tm5Y,898
TmY3,824
Dm3c,787
Tm5c,750
BM_InOm,736
KCab-s,657
Y3,627
Dm10,626
Tm5a,624
Dm8a,572
TmY4,562
Tm37,559
TmY10,552
Tm29,544
KCab-m,536
Dm8b,532
Tm5b,522
TmY9b,515
LC12,498
KCab-c,488
Dm15,485
R7y,482
R8y,481
TmY14,477
Cm1,472
TmY9a,471
Mi10,444
R8_unclear,440
TmY13,432
Tm39,426
JO-C/D/E,417
Tm16,396
TmY17,395
R7_unclear,386
Cm2,383
TmY21,372
Lawf1,361
LC17,353
TmY20,343
R7p,332
R8p,330
Cm3,323
Mi14,315
KCa'b'-ap2,291
LLPC1,285
Tm33,280
Lawf2,276
Dm12,276
LC10a,275
Dm9,273
SNta29,260
Cm4,251
LLPC2,250
MeTu1,249
Pm1,246
Tm24,245
"SNta02,SNta09",241
Li22,232
SNta37,228
LPC1,224
Tm38,223
LC9,219
Pm2a,219
LLPC3,219
Li14,217
LC10d,214
Cm5,214
Cm6,211
TmY15,209
Y14,208
LC18,208
Li21,207
KCg-d,206
KCa'b'-m,205
ORN_DA1,204
KCa'b'-ap1,199
Y13,193
Mi16,191
Mi17,189
Y12,186
SNxx03,186
LPLC2,185
Cm7,184
Cm8,182
Pm5,182
LC16,182
Tm40,180
LC13,177
Tm34,174
MeTu3c,174
TmY16,168
Pm4,168
Dm11,158
SNta20,156
Tm36,155
LPC2,154
LC21,153
Y11,153
Dm16,151
SApp,148
MeLo2,145
LC11,143
Cm9,143
Tlp12,139
PFNp_b,136
LgLG1b,136
LPLC1,134
ORN_VA1d,132
LgLG1a,132
ORN_VA1v,130
LC10c-1,130
SNxx04,130
KCab-p,129
LgLG2,129
LC4,126
LC15,126
LC10c-2,125
Tm32,125
Pm2b,124
LC6,124
Tm30,124
MeLo1,123
LPi3a,123
MeVP1,122
SNta38,122
Tm31,120
LPi34,119
Li23,119
Li25,117
Tlp13,115
SNta21,115
Li27,113
LC10e,110
MeLo3a,107
LPi3412,104
Tm26,103
ORN_DL3,103
SNxxxx,102
LPT111,101
MeVP6,99
Dm4,99
Dm20,98
ORN_VL2a,98
LPLC4,97
WG2,97
MeLo7,96
WG4,96
WG3,96
WG1,96
MeTu4a,95
LPi2e,95
LC10b,95
LC24,94
Cm10,89
LgLG3b,88
MeTu4c,87
TmY19a,86
Tm35,86
ORN_VM5d,84
MeTu3b,83
ORN_VA2,83
ORN_DL1,83
SNta04,83
MeLo9,82
R7d,82
ORN_VL1,82
MeLo3b,81
SNch10,81
Dm1,80
SNppxx,80
LC20b,79
Lai,79
ORN_VM4,78
SNta42,77
R8d,76
MeVP2,76
SNta31,76
LC26,75
Cm11a,75
Pm10,74
"SApp09,SApp22",74
ORN_DM1,74
SNta28,74
LC22,73
MeLo13,73
SNta43,73
SNxx33,72
Cm12,70
MeTu2a,70
vDeltaA_a,70
BM,69
Mi18,69
Pm3,69
LOLP1,69
MeVP3,69
Li34a,68
Tlp11,68
MeLo4,68
LgLG3a,68
SNta11,67
SNxx14,66
Li13,65
JO-F,65
SNta30,65
PFNp_a,64
ORN_VA6,63
ORN_DM3,63
SNta25,63
Dm6,62
LC28,62
MeLo6,62
LC20a,62
ORN_DL4,62
SNpp50,62
MeVP10,61
LPi43,61
MeLo10,61
LPi2d,61
Li34b,60
Dm18,58
PFNa,58
Tlp14,58
ORN_DM6,58
LC30,57
JO-B,57
FS4A,57
LC25,56
Cm11b,56
MeTu4f,56
MeVP11,55
vDeltaM,55
ORN_V,55
SNta18,55
Pm9,54
LPi2c,54
ORN_DM2,54
SNta34,54
SNta41,54
Dm13,53
SNpp45,53
"SNta04,SNta11",53
Cm13,52
LoVP1,52
SNta32,52
Li19,51
MeTu4e,51
LoVP13,51
Pm6,50
MeLo11,50
MeLo12,50
Dm-DRA1,50
PAM08,50
claw_tpGRN,50
SNta40,50
Li18a,49
Cm14,48
TPMN1,48
ORN_DA2,48
MeLo8,47
Cm15,47
FC2C,47
vDeltaK,47
SApp08,47
SNta27,47
EPG,46
LPi3b,46
LC27,46
Acc. ti flexor MN,46
ORN_VL2p,45
Cm11c,44
LoVP2,44
PAM01,44
LC14b,43
ORN_DL5,43
ORN_VM3,43
SNpp52,43
"SNta11,SNta14",43
SNta35,43
LgLG4,43
Delta7,42
aMe5,42
FS2,42
LoVP12,42
Li15,41
ORN_VM2,41
SNpp60,41
PFNp_c,40
MeTu4d,40
MeVP4,40
LC29,40
Li20,40
PFNd,40
LPT100,40
BM_Taste,40
SNpp47,40
SNta23,40
Pm8,39
MeLo14,39
LPT112,39
SNpp39,39
SNta03,39
Li26,38
MeTu3a,38
Cm16,38
ORN_VC4,38
SApp10,37
vDeltaL,37
MeLo5,37
"SApp06,SApp15",37
R7R8_unclear,37
SNxx06,37
TmY19b,36
ORN_VM7d,36
Ti flexor MN,36
SNpp02,36
SNta44,36
ORN_DA4m,35
ORN_DC3,35
ORN_DM5,35
SNpp19,35
Tr flexor MN,35
SNch01,35
Dm14,34
LT52,34
LC40,34
ORN_VM6v,34
LPi4a,34
ORN_VM5v,34
ORN_VA4,34
ORN_VC3,34
ORN_DA3,34
SNxx22,34
Tm23,33
MeVP14,33
ORN_DP1l,33
LPi14,33
