roi,neuron_count
Optic(R),55086
CentralBrain,54261
Optic(L),53690
CentralBrain-unspecified,48161
ME(L),43022
ME(R),42780
Optic-unspecified(L),38070
Optic-unspecified(R),36052
ME_R_layer_03,31924
ME_L_layer_03,30786
ME_L_layer_02,29346
ME_R_layer_01,28555
ME_R_layer_02,28486
ME_L_layer_01,27643
ME_L_layer_04,27332
LO(L),26908
LO(R),26555
ME_R_layer_04,26202
VNC,25635
ME_R_layer_08,24660
ME_R_layer_05,24328
ME_L_layer_08,23457
ME_L_layer_09,23244
ME_R_layer_09,22897
ME_R_layer_10,22381
ME_L_layer_06,20833
ME_L_layer_10,20789
ME_R_layer_06,20781
ME_L_layer_05,20412
LO_R_layer_2,20072
ME_L_layer_07,20048
LO_L_layer_2,18853
ME_R_layer_07,18442
LO_L_layer_3,17184
VNC-unspecified,16615
LO_R_layer_3,16385
LO_R_layer_4,15472
LOP(R),15193
LO_L_layer_4,15173
LO_R_layer_1,14784
LO_L_layer_1,14612
LOP(L),14476
LOP_R_layer_1,14355
LO_L_layer_5,14039
LO_R_layer_5,13890
LOP_L_layer_1,13255
LO_R_layer_6,12575
LO_L_layer_6,12461
GNG,11765
LOP_R_layer_2,11467
LOP_L_layer_2,11238
LO_L_layer_7,9614
LOP_L_layer_3,9471
LOP_R_layer_3,9324
LA(R),9131
PLP(R),9030
LO_R_layer_7,8860
ANm,8273
LOP_R_layer_4,8250
PLP(L),8162
LOP_L_layer_4,8044
IntTct,7473
SAD,7213
SLP(R),7152
SLP(L),7094
SCL(R),7056
SCL(L),6715
LA(L),6635
LTct,6618
SMP(R),6480
SMP(L),6393
PVLP(L),6070
PVLP(R),5946
LegNp(T3)(R),5895
AVLP(R),5742
AVLP(L),5706
SPS(R),5534
SPS(L),5519
LegNp(T1)(L),5442
LegNp(T1)(R),5401
ICL(L),5280
ICL(R),5184
SIP(L),5133
LegNp(T3)(L),5119
SIP(R),5025
WED(L),4879
WED(R),4800
IB,4715
LegNp(T2)(L),4565
LegNp(T2)(R),4527
CRE(R),4068
AL(R),4060
CRE(L),3934
AL(L),3863
LH(R),3827
LAL(L),3657
LH(L),3649
WTct(UTct-T2)(R),3560
VES(L),3501
VES(R),3461
Ov(R),3393
LAL(R),3376
WTct(UTct-T2)(L),3364
Ov(L),3352
CV,3282
CV-unspecified,3280
gL(R),3149
IPS(L),3027
AMMC(L),3022
PED(R),3020
IPS(R),3012
AMMC(R),3002
PED(L),2843
gL(L),2843
FB,2832
FLA(L),2802
HTct(UTct-T3)(R),2746
HTct(UTct-T3)(L),2718
CA(L),2583
FLA(R),2564
CA(R),2536
PRW,2422
aL(R),2401
GOR(L),2364
aL(L),2300
GOR(R),2175
bL(R),2108
NTct(UTct-T1)(L),2086
a'L(R),2003
EPA(L),1954
NTct(UTct-T1)(R),1945
AOTU(L),1899
AOTU(R),1865
EPA(R),1770
b'L(R),1759
mVAC(T2)(L),1562
mVAC(T2)(R),1406
a'L(L),1313
ATL(R),1272
bL(L),1263
ATL(L),1234
CAN(L),1221
mVAC(T1)(L),1202
mVAC(T1)(R),1184
CAN(R),1159
b'L(L),1094
ME_R_col_21_13,1024
ME_R_col_20_14,1022
ME_R_col_25_16,1020
ME_R_col_16_15,1006
ME_R_col_23_15,1002
ME_R_col_20_15,992
ME_R_col_24_14,992
ME_R_col_23_13,991
ME_R_col_23_14,989
ME_L_col_10_27,988
ME_L_col_24_13,986
ME_R_col_21_14,986
ME_R_col_21_12,985
ME_R_col_16_12,985
ME_L_col_19_16,982
ME_R_col_21_11,980
ME_R_col_24_17,979
ME_R_col_20_12,978
ME_L_col_23_14,978
ME_R_col_19_12,978
ME_L_col_18_33,977
ME_R_col_22_14,976
ME_R_col_23_19,976
ME_R_col_22_15,975
ME_L_col_20_09,974
ME_R_col_19_20,974
ME_R_col_16_20,973
ME_R_col_19_16,973
ME_R_col_23_20,972
ME_R_col_23_18,972
ME_R_col_24_16,972
ME_R_col_26_20,972
ME_R_col_25_15,972
ME_R_col_19_19,971
ME_R_col_16_16,970
ME_R_col_24_20,970
ME_R_col_24_18,970
ME_R_col_20_13,969
ME_L_col_22_12,969
ME_R_col_23_17,968
ME_R_col_19_17,968
ME_L_col_17_15,967
ME_R_col_19_14,967
ME_R_col_22_12,966
ME_L_col_27_17,966
ME_R_col_14_29,965
ME_R_col_21_15,964
ME_R_col_28_20,964
ME_R_col_18_12,963
ME_R_col_29_22,963
ME_R_col_24_15,963
ME_R_col_22_13,962
ME_R_col_19_13,962
ME_R_col_29_20,962
ME_R_col_18_19,961
ME_L_col_20_15,961
ME_R_col_16_19,961
ME_R_col_18_24,961
ME_R_col_22_19,961
ME_L_col_19_15,959
ME_L_col_23_13,959
ME_R_col_26_15,959
ME_R_col_23_12,959
ME_L_col_20_10,959
ME_R_col_22_18,959
ME_R_col_20_10,958
ME_L_col_25_15,958
ME_R_col_23_16,957
ME_R_col_18_23,957
ME_R_col_17_12,957
ME_R_col_20_18,957
ME_L_col_08_22,957
ME_L_col_28_22,957
ME_R_col_21_19,957
ME_R_col_22_22,956
ME_R_col_12_28,956
ME_R_col_20_11,956
ME_R_col_27_17,956
ME_L_col_19_11,956
ME_R_col_19_15,956
ME_R_col_21_16,955
ME_R_col_20_16,955
ME_R_col_21_17,954
ME_R_col_17_10,954
ME_L_col_13_10,954
ME_R_col_15_17,953
ME_R_col_15_15,953
ME_R_col_18_17,953
ME_R_col_17_15,953
ME_R_col_22_21,952
ME_R_col_26_17,952
ME_R_col_16_09,952
ME_L_col_24_14,952
ME_R_col_24_19,951
ME_R_col_16_14,951
ME_R_col_26_19,951
ME_R_col_22_11,951
ME_L_col_09_26,950
ME_R_col_25_20,950
ME_R_col_17_22,949
ME_R_col_16_22,948
ME_R_col_17_09,948
ME_R_col_17_18,948
ME_R_col_18_15,948
ME_R_col_24_12,948
ME_L_col_26_15,948
ME_R_col_18_14,947
ME_R_col_19_18,947
ME_L_col_18_18,947
ME_L_col_20_11,947
ME_R_col_24_13,947
ME_L_col_22_11,947
ME_L_col_21_11,946
ME_R_col_25_19,946
ME_R_col_19_08,946
ME_L_col_19_09,946
ME_L_col_23_15,946
ME_R_col_15_31,945
ME_R_col_16_17,945
ME_L_col_10_26,944
ME_R_col_25_17,943
ME_R_col_22_16,943
ME_R_col_13_14,943
ME_L_col_18_15,943
ME_L_col_26_14,943
ME_L_col_16_16,943
ME_L_col_21_10,943
ME_R_col_16_18,942
ME_R_col_17_11,942
ME_R_col_19_09,942
ME_L_col_18_13,942
ME_R_col_13_26,942
ME_R_col_21_20,942
ME_R_col_20_22,942
ME_L_col_20_13,941
ME_L_col_20_17,941
ME_R_col_21_18,941
ME_R_col_14_10,941
ME_R_col_20_19,941
ME_L_col_22_17,940
