superclass,count,category
ol_intrinsic,88648,Intrinsic
cb_intrinsic,32162,Intrinsic
vnc_intrinsic,13149,Intrinsic
visual_projection,9200,Other
vnc_sensory,6326,Sensory
ol_sensory,6028,Sensory
cb_sensory,4738,Sensory
ascending_neuron,1846,Other
descending_neuron,1314,Other
vnc_motor,702,Motor
visual_centrifugal,563,Other
sensory_ascending,535,Sensory
cb_motor,107,Motor
vnc_efferent,99,Other
endocrine,67,Other
vnc_tbc,37,Other
vnc_sensory_tbc,27,Sensory
sensory_descending,12,Sensory
ENS,12,Other
cb_sensory_tbc,10,Sensory
efferent_ascending,8,Other
efferent_descending,4,Other
cb_efferent,4,Other
visual_projection_tbc,2,Other
sensory_ascending_tbc,2,Sensory
descending_neuron_tbc,2,Other
